latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.04121,-119.54282,311.5,0.47,0.4,2020-06-01,1000,N,VIIRS,n,2.0NRT,275.1,1.6,N
33.77519,-118.23158,296.4,0.55,0.43,2020-06-01,1000,N,VIIRS,n,2.0NRT,281,0.8,N
34.14169,-117.42632,296.8,0.39,0.44,2020-06-01,1000,N,VIIRS,n,2.0NRT,276.6,0.4,N
34.42982,-118.64212,304,0.51,0.41,2020-06-01,1000,N,VIIRS,n,2.0NRT,284.9,0.5,N
34.35485,-116.8535,304.4,0.42,0.45,2020-06-01,1000,N,VIIRS,n,2.0NRT,285.1,0.9,N
34.15377,-118.19498,305.9,0.54,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,281.6,0.8,N
34.32063,-118.51125,299.6,0.52,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,283.7,0.4,N
34.31865,-118.51276,298.5,0.52,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,284.5,0.4,N
34.36847,-118.86719,296.2,0.5,0.41,2020-06-01,1000,N,VIIRS,n,2.0NRT,283.4,0.3,N
34.3342,-118.51942,318.3,0.52,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,284.5,1.8,N
36.35888,-114.91286,312,0.48,0.48,2020-06-01,1000,N,VIIRS,n,2.0NRT,285.3,1.8,N
33.85214,-118.33198,301.6,0.54,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,287.6,1.3,N
34.62316,-117.0987,301.2,0.4,0.44,2020-06-01,1000,N,VIIRS,n,2.0NRT,277,0.9,N
34.15411,-118.19309,308.7,0.54,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,282,1.2,N
33.85239,-118.33132,300.5,0.54,0.42,2020-06-01,1000,N,VIIRS,n,2.0NRT,286.8,1.6,N
34.60945,-117.33766,298.8,0.39,0.44,2020-06-01,1000,N,VIIRS,n,2.0NRT,272.8,0.7,N
34.32419,-118.52883,299,0.52,0.41,2020-06-01,1000,N,VIIRS,n,2.0NRT,284.6,0.5,N
34.29335,-118.80321,302.2,0.51,0.41,2020-06-01,1000,N,VIIRS,n,2.0NRT,282.7,0.8,N
33.79287,-117.47665,295.4,0.4,0.44,2020-06-01,1000,N,VIIRS,n,2.0NRT,278.4,0.6,N
34.04476,-119.54152,342.8,0.47,0.4,2020-06-01,1000,N,VIIRS,n,2.0NRT,282.6,3.3,N
34.04379,-119.53642,299.1,0.47,0.4,2020-06-01,1000,N,VIIRS,n,2.0NRT,280,3.3,N
38.99434,-121.46899,336.9,0.52,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,300.3,7.1,D
39.02197,-121.39317,367,0.53,0.42,2020-06-01,2118,N,VIIRS,h,2.0NRT,312.8,27.9,D
38.99628,-122.01838,348.1,0.49,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,314.7,10.9,D
38.99575,-122.01624,338.8,0.49,0.41,2020-06-01,2118,N,VIIRS,l,2.0NRT,312.7,6,D
38.9951,-122.02199,342,0.49,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,310.6,9.6,D
38.91779,-122.06678,339,0.49,0.4,2020-06-01,2118,N,VIIRS,l,2.0NRT,310.6,3.1,D
39.02131,-121.39928,343.1,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,307.9,8,D
39.02581,-121.39383,343.4,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,309.1,8.3,D
39.11348,-121.8918,336.4,0.5,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,304.6,6.6,D
39.13265,-123.4796,341,0.44,0.38,2020-06-01,2118,N,VIIRS,n,2.0NRT,299.3,5.1,D
38.67683,-121.43954,338.3,0.52,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,307.8,3,D
38.67302,-121.43888,335.7,0.52,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,305.3,1.4,D
40.33902,-122.40118,331.5,0.49,0.4,2020-06-01,2118,N,VIIRS,n,2.0NRT,302.9,2.3,D
39.11671,-121.89365,343.5,0.5,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,305.8,5.7,D
39.2324,-121.71569,336.7,0.51,0.41,2020-06-01,2118,N,VIIRS,n,2.0NRT,304.9,3.4,D
38.83652,-121.38224,352,0.52,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,312,40.5,D
38.99243,-121.4501,340.6,0.52,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,305.6,4.4,D
38.99051,-121.46833,335.8,0.52,0.42,2020-06-01,2118,N,VIIRS,l,2.0NRT,307.5,8.9,D
35.45779,-120.53486,338.9,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,294.5,12.3,D
35.45844,-120.52898,351.2,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,307.1,12.3,D
35.45393,-120.53437,338.4,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,295.7,3.5,D
35.45457,-120.52846,335.5,0.53,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,301.1,3.5,D
39.53987,-122.25681,338.5,0.49,0.4,2020-06-01,2118,N,VIIRS,l,2.0NRT,309.9,1.9,D
39.54359,-122.25751,348.4,0.49,0.4,2020-06-01,2118,N,VIIRS,n,2.0NRT,310.6,6.2,D
38.98986,-121.47438,350.5,0.52,0.42,2020-06-01,2118,N,VIIRS,n,2.0NRT,310.3,8.9,D
37.18238,-121.67993,296.6,0.45,0.39,2020-06-02,0942,N,VIIRS,n,2.0NRT,284.8,0.6,N
37.48711,-121.18942,296,0.44,0.38,2020-06-02,0942,N,VIIRS,n,2.0NRT,285.9,0.2,N
37.48647,-121.18446,303.8,0.44,0.38,2020-06-02,0942,N,VIIRS,n,2.0NRT,285.6,0.7,N
39.62139,-119.26409,295.8,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,278,0.3,N
38.01588,-122.11265,306.5,0.48,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,292.3,1.4,N
38.02932,-122.09888,297.7,0.48,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.5,0.6,N
38.99255,-121.45197,300.2,0.46,0.39,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.7,0.7,N
33.79445,-117.47312,306.7,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,285.7,0.7,N
34.15209,-118.19268,312.5,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,289.3,0.9,N
38.07209,-122.14127,302.1,0.48,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,291,1.2,N
38.01904,-122.23641,298.9,0.49,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,285.3,0.7,N
37.94995,-122.39944,306.4,0.49,0.41,2020-06-02,0942,N,VIIRS,n,2.0NRT,291,1.6,N
34.60875,-117.33776,309.6,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,291.4,0.9,N
35.12104,-118.36879,297.3,0.38,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,282.4,0.7,N
34.11504,-117.92406,300.7,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,289.4,0.5,N
34.03946,-117.82041,297.8,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,286.5,0.2,N
38.00238,-121.93581,299.4,0.47,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,288.5,0.7,N
33.71501,-117.71074,317.9,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.9,1.4,N
34.32432,-118.5249,302.7,0.38,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,288.9,0.3,N
35.96221,-120.00771,303,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,289.1,0.4,N
32.8562,-117.14881,297.3,0.41,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,285.6,0.4,N
33.49165,-117.6162,298.2,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,286,0.7,N
34.43148,-118.64298,297.8,0.38,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.7,0.8,N
34.62027,-117.09941,297.2,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,281.5,0.4,N
34.33352,-118.51842,316.2,0.38,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,289.8,1.5,N
38.04391,-122.25473,301.1,0.49,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,290.2,1.1,N
33.61436,-117.82021,302.1,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.4,0.3,N
34.03586,-118.10596,305.3,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,289.4,0.7,N
38.50627,-121.47434,299.7,0.46,0.39,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.9,36.8,N
38.50562,-121.46906,326.1,0.46,0.39,2020-06-02,0942,N,VIIRS,n,2.0NRT,299.9,36.8,N
33.85174,-118.33202,306.4,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,292.1,1.3,N
37.45424,-121.93394,309.2,0.47,0.4,2020-06-02,0942,N,VIIRS,n,2.0NRT,284.2,0.8,N
33.82045,-118.24468,303.1,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,291.5,0.8,N
33.77681,-118.2291,309.6,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,291.7,1.2,N
33.77816,-118.23739,305.7,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,293.8,1,N
34.47617,-120.12737,297,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,286.7,0.2,N
34.24313,-118.38013,302.6,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,288.7,0.4,N
34.35281,-116.85217,300.8,0.4,0.37,2020-06-02,0942,N,VIIRS,n,2.0NRT,284.6,0.9,N
34.31905,-118.51319,300.4,0.38,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,287.9,0.2,N
36.46079,-119.27769,299.7,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,280.3,0.6,N
37.75513,-121.72897,295.6,0.46,0.39,2020-06-02,0942,N,VIIRS,n,2.0NRT,284.7,0.4,N
36.46143,-119.28203,301.9,0.39,0.36,2020-06-02,0942,N,VIIRS,n,2.0NRT,281.3,0.6,N
37.52824,-120.69996,335.7,0.39,0.36,2020-06-02,2100,N,VIIRS,n,2.0NRT,305.9,1.7,D
